time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T09:17:59.904Z,68.5271,-147.6383,0,1.6,ml,,,,0.48,ak,ak20271972,2018-10-06T09:22:12.893Z,"97km WNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T09:10:29.200Z,39.5286674,-122.8966675,10.42,2.21,md,18,82,0.3463,0.34,nc,nc73094366,2018-10-06T09:31:04.531Z,"14km NNE of Lake Pillsbury, CA",earthquake,0.87,2.73,0.09,9,automatic,nc,nc
2018-10-06T09:04:57.870Z,19.4928341,-155.6541595,-3.13,2.11,ml,29,89,0.04723,0.33,hv,hv70634942,2018-10-06T09:10:44.210Z,"22km E of Honaunau-Napoopoo, Hawaii",earthquake,0.39,0.23,0.32,4,automatic,hv,hv
2018-10-06T09:03:59.752Z,69.5981,-143.9913,9.1,2.1,ml,,,,0.96,ak,ak20271970,2018-10-06T09:09:14.267Z,"61km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-06T08:42:56.330Z,33.477,-116.7861667,3.91,0.57,ml,22,47,0.03721,0.16,ci,ci38316664,2018-10-06T08:46:35.594Z,"8km ENE of Aguanga, CA",earthquake,0.26,0.55,0.074,20,automatic,ci,ci
2018-10-06T07:59:18.092Z,69.4479,-143.7878,0,2.3,ml,,,,1.14,ak,ak20271963,2018-10-06T08:03:13.011Z,"76km S of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-06T07:44:36.200Z,61.4299,-150.2752,35.7,1.8,ml,,,,0.57,ak,ak20271960,2018-10-06T07:49:11.141Z,"19km WSW of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-10-06T07:32:00.013Z,60.2888,-152.6507,114.4,2.8,ml,,,,0.55,ak,ak20271947,2018-10-06T07:44:02.389Z,"22km SSE of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T07:21:18.935Z,61.6007,-149.8011,35.4,2,ml,,,,0.43,ak,ak20271942,2018-10-06T07:34:10.584Z,"3km SSE of Houston, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-06T07:06:37.751Z,63.2518,-151.0329,6.7,1.7,ml,,,,0.87,ak,ak20271940,2018-10-06T07:10:12.456Z,"105km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T07:05:19.770Z,32.9158333,-115.5396667,5.9,1.46,ml,10,107,0.02277,0.17,ci,ci38316656,2018-10-06T07:08:56.096Z,"7km S of Brawley, CA",earthquake,0.43,0.52,0.232,17,automatic,ci,ci
2018-10-06T07:02:49.310Z,33.5096667,-116.763,3.36,0.15,ml,9,107,0.03132,0.09,ci,ci38316648,2018-10-06T07:06:23.577Z,"10km WSW of Anza, CA",earthquake,0.31,0.96,0.079,3,automatic,ci,ci
2018-10-06T07:00:14.980Z,33.4871667,-116.7836667,4.67,0.36,ml,17,71,0.02874,0.15,ci,ci38316640,2018-10-06T07:04:06.087Z,"9km ENE of Aguanga, CA",earthquake,0.28,0.46,0.135,11,automatic,ci,ci
2018-10-06T06:55:01.090Z,19.3918343,-154.8771667,-0.08,2.38,ml,42,223,0.07455,0.28,hv,hv70634772,2018-10-06T07:00:49.640Z,"9km SSE of Leilani Estates, Hawaii",earthquake,1.18,0.29,0.24,20,automatic,hv,hv
2018-10-06T06:50:45.146Z,40.1922,-121.2028,14.6,1.4,ml,6,203.25,0.249,0.1452,nn,nn00659822,2018-10-06T19:26:45.270Z,"12km S of Chester, California",earthquake,,3.8,0.47,2,reviewed,nn,nn
2018-10-06T06:47:30.430Z,33.287,-116.2138333,10.72,1.02,ml,43,73,0.0999,0.23,ci,ci38316632,2018-10-06T06:50:59.593Z,"15km ENE of Borrego Springs, CA",earthquake,0.29,0.66,0.123,23,automatic,ci,ci
2018-10-06T06:33:58.750Z,33.4983333,-116.7946667,2.6,0.69,ml,30,32,0.01478,0.2,ci,ci38316624,2018-10-06T06:37:37.620Z,"9km NE of Aguanga, CA",earthquake,0.23,0.38,0.097,23,automatic,ci,ci
2018-10-06T06:31:32.600Z,43.8371,-127.8555,10,4.3,mb,,189,2.757,0.95,us,us1000h80u,2018-10-06T06:49:56.040Z,"290km WNW of Bandon, Oregon",earthquake,8.6,1.9,0.097,30,reviewed,us,us
2018-10-06T06:30:23.121Z,39.3671,-119.935,8.2,0.3,ml,10,88.02,0.108,0.1127,nn,nn00659821,2018-10-06T19:20:36.041Z,"13km NNE of Incline Village, Nevada",earthquake,,2.3,0.87,6,reviewed,nn,nn
2018-10-06T06:29:52.860Z,17.8695,-66.978,29,2.56,md,14,255,0.1199,0.12,pr,pr2018279001,2018-10-06T08:52:10.150Z,"13km SSW of Guanica, Puerto Rico",earthquake,0.65,0.63,0.29,14,reviewed,pr,pr
2018-10-06T06:23:58.600Z,33.4885,-116.789,4.61,0.46,ml,25,37,0.02563,0.12,ci,ci38316616,2018-10-06T06:27:33.435Z,"9km NE of Aguanga, CA",earthquake,0.18,0.34,0.081,14,automatic,ci,ci
2018-10-06T06:14:52.983Z,36.7129,-116.2264,0.2,-0.2,ml,6,163.83,0.019,0.1211,nn,nn00659820,2018-10-06T19:14:24.770Z,"52km ESE of Beatty, Nevada",earthquake,,6.8,0,1,reviewed,nn,nn
2018-10-06T05:56:22.629Z,36.7369,-116.2408,2.6,0.1,ml,8,197.65,0.025,0.1448,nn,nn00659819,2018-10-06T19:11:18.110Z,"50km ESE of Beatty, Nevada",earthquake,,2.5,0.45,3,reviewed,nn,nn
2018-10-06T05:33:39.210Z,33.5035,-116.7995,2.91,1.41,ml,59,28,0.008875,0.19,ci,ci38316608,2018-10-06T05:44:27.160Z,"9km NE of Aguanga, CA",earthquake,0.18,0.54,0.131,26,automatic,ci,ci
2018-10-06T05:28:40.355Z,61.2606,-150.991,63.3,1.5,ml,,,,0.31,ak,ak20271937,2018-10-06T05:32:51.436Z,"58km W of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-06T05:15:05.937Z,60.0731,-152.7423,91.7,1.8,ml,,,,0.88,ak,ak20271935,2018-10-06T05:19:19.439Z,"45km S of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
